,Phe,,Cys,,Tyr,,Gln,,Leu,,Asn,,Gly,,Ile,,Pro,,Arg,,Ala,,Asp,,Glu,,His,,Lys,,Met,,Ser,,Thr,,Trp,,Val
1627.71,62.4929,1627.8,87.4924,1627.8,57.495,1627.71,77.4912,1627.8,119.99,1627.71,19.9977,1627.83,44.9961,1627.71,117.487,1627.19,30.022,1627.71,62.4929,1627.69,58.7435,1627.69,49.9945,1627.69,37.49585,1627.69,144.984,1627.69,52.4942,1627.69,54.9939,1627.69,184.9796,1627.69,144.984,1627.69,142.484,1627.69,94.9895
1626.71,52.4941,1626.8,72.4937,1626.8,47.4959,1626.71,92.4895,1626.8,104.991,1626.71,39.9955,1626.83,52.4954,1626.71,94.9893,1626.19,32.5177,1626.71,54.9938,1626.69,55.6155833333333,1626.69,47.4912,1626.69,32.49425,1626.69,123.3126,1626.69,53.3243666666667,1626.69,54.9907,1626.69,226.625866666667,1626.69,128.312,1626.69,127.478333333333,1626.69,94.1501333333333
1625.71,54.9836,1625.8,97.4735,1625.8,44.9878,1625.71,89.9732,1625.8,102.472,1625.71,44.9866,1625.83,34.9905,1625.71,114.966,1625.19,32.5116,1625.71,57.4829,1625.69,53.8576,1625.69,50.48204,1625.69,32.98901,1625.69,123.95896,1625.69,53.48246,1625.69,52.98324,1625.69,253.256666666667,1625.69,119.964666666667,1625.69,116.46388,1625.69,91.6396333333333
1624.71,57.4722,1624.8,82.4623,1624.8,42.4806,1624.71,112.446,1624.8,114.947,1624.71,49.9759,1624.83,47.4783,1624.71,84.959,1624.19,55.0093,1624.71,69.9662,1624.69,52.4751,1624.69,48.5468571428571,1624.69,34.2676071428571,1624.69,114.94516,1624.69,52.1170428571429,1624.69,54.47384,1624.69,259.875333333333,1624.69,120.775333333333,1624.69,116.728485714286,1624.69,94.9545666666667
1623.71,67.4549,1623.8,79.9487,1623.8,32.4791,1623.71,92.4382,1623.8,102.434,1623.71,47.4683,1623.83,49.9679,1623.71,89.9399,1623.19,47.4991,1623.71,49.9666,1623.69,51.7158,1623.69,49.6090571428571,1623.69,34.0833142857143,1623.69,117.92172,1623.69,51.7520142857143,1623.69,55.96164,1623.69,249.835333333333,1623.69,124.083666666667,1623.69,117.975377777778,1623.69,89.1077
1622.71,69.9403,1622.8,84.9297,1622.8,54.9545,1622.71,102.413,1622.8,112.407,1622.71,47.4595,1622.83,44.9628,1622.71,89.9233,1622.19,32.4933,1622.71,69.9403,1622.69,52.4549,1622.69,52.0990714285714,1622.69,35.3269357142857,1622.69,122.89436,1622.69,49.9581714285714,1622.69,55.95194,1622.69,249.786666666667,1622.69,122.396666666667,1622.69,118.079854545455,1622.69,89.924
1621.71,54.9429,1621.8,89.9089,1621.8,39.9595,1621.71,124.87,1621.8,92.4064,1621.71,52.4455,1621.83,37.462,1621.71,97.3988,1621.19,42.4832,1621.71,54.9429,1621.68,53.56895,1621.68,52.0884428571428,1621.68,35.6770428571429,1621.68,125.86704,1621.68,48.5226285714286,1621.68,53.94412,1621.68,243.081333333333,1621.68,123.206333333333,1621.68,116.014490909091,1621.68,90.7382666666666
1620.71,49.9389,1620.8,72.4132,1620.8,57.4312,1620.71,102.375,1620.8,102.377,1620.71,47.4419,1620.83,37.4551,1620.71,102.375,1620.19,32.481,1620.71,74.9083,1620.68,53.18495,1620.68,51.3657142857143,1620.68,35.4916214285714,1620.68,125.84388,1620.68,47.0859571428571,1620.68,56.9315,1620.68,244.703333333333,1620.68,123.182,1620.68,115.3124,1620.68,94.0516666666666
1619.71,47.4331,1619.8,79.8895,1619.8,47.4344,1619.71,117.335,1619.8,107.351,1619.71,52.4261,1619.83,29.9585,1619.71,89.8733,1619.19,49.9614,1619.71,59.9155,1619.68,54.79745,1619.68,49.5728571428571,1619.68,36.3774071428571,1619.68,132.81296,1619.68,47.4331428571429,1619.68,53.92526,1619.68,239.662,1619.68,132.312666666667,1619.68,115.969945454545,1619.68,88.2109333333333
1618.71,69.8885,1618.8,87.3629,1618.8,54.9138,1618.71,89.8566,1618.8,79.8746,1618.71,49.9204,1618.83,37.4412,1618.71,82.3686,1618.19,17.4832,1618.71,67.3925,1618.68,56.53465,1618.68,48.4953857142857,1618.68,35.3024928571429,1618.68,130.79376,1618.68,47.4252714285714,1618.68,52.41618,1618.68,239.618,1618.68,138.944333333333,1618.68,118.446090909091,1618.68,82.3694333333333
1617.7,59.8933,1617.79,92.3379,1617.79,44.9212,1617.7,119.787,1617.79,114.799,1617.7,42.4244,1617.83,39.9299,1617.7,72.3711,1617.18,29.9655,1617.7,64.8844,1617.68,56.27455,1617.68,49.2001428571428,1617.68,33.5128357142857,1617.68,127.77428,1617.68,47.4150857142857,1617.68,54.90108,1617.68,254.545333333333,1617.68,134.762,1617.68,117.293372727273,1617.68,76.5304
1616.7,34.9313,1616.79,87.3305,1616.79,54.8934,1616.7,89.8233,1616.79,99.8063,1616.7,52.3969,1616.82,47.408,1616.7,94.8135,1616.18,39.9465,1616.7,62.3773,1616.68,57.76065,1616.68,47.7645142857143,1616.68,32.97175,1616.68,122.76,1616.68,50.2557857142857,1616.68,56.38878,1616.68,241.194666666667,1616.68,126.420333333333,1616.68,114.551272727273,1616.68,72.3592666666666
1615.7,44.9033,1615.79,84.8196,1615.79,29.9363,1615.7,97.2905,1615.79,104.777,1615.7,52.3872,1615.82,54.8832,1615.7,72.3442,1615.18,39.939,1615.7,59.8711,1615.67,58.87355,1615.67,49.1795,1615.67,34.9244714285714,1615.67,127.72428,1615.67,52.3845142857143,1615.67,54.38316,1615.67,239.488666666667,1615.67,126.393333333333,1615.67,113.170945454545,1615.67,65.6928666666666
1614.7,57.3658,1614.79,99.7692,1614.79,52.3788,1614.7,97.2724,1614.79,99.7692,1614.7,49.8833,1614.82,24.9423,1614.7,82.3075,1614.18,32.4443,1614.7,67.3425,1614.67,57.49115,1614.67,47.0321714285714,1614.67,34.0272357142857,1614.67,131.68844,1614.67,53.0893285714286,1614.67,55.8703,1614.67,221.149333333333,1614.67,125.540333333333,1614.67,111.562490909091,1614.67,63.1852333333333
1613.7,47.3803,1613.78,97.2569,1613.78,62.3442,1613.7,89.7733,1613.78,94.7631,1613.7,49.874,1613.82,37.4065,1613.7,82.2922,1613.18,49.9049,1613.7,62.3425,1613.67,56.6077,1613.67,47.7354571428571,1613.67,34.55435,1613.67,130.67,1613.67,53.0805142857143,1613.67,54.86252,1613.67,229.421333333333,1613.67,125.518666666667,1613.67,111.313309090909,1613.67,68.1606
1612.69,42.3851,1612.78,89.7589,1612.78,54.8527,1612.69,122.169,1612.78,79.7857,1612.69,49.8648,1612.81,37.3995,1612.69,87.2633,1612.18,27.4425,1612.69,77.2904,1612.67,55.9742,1612.67,48.0830857142857,1612.67,34.1918785714286,1612.67,129.64988,1612.67,52.0028428571429,1612.67,52.35816,1612.67,216.0838,1612.67,118.013333333333,1612.67,110.385309090909,1612.67,64.8253
1611.69,52.3483,1611.78,112.178,1611.78,54.8425,1611.69,97.2182,1611.78,119.656,1611.69,49.8555,1611.81,42.3782,1611.69,59.8266,1611.17,32.4259,1611.69,67.3049,1611.66,55.71315,1611.66,50.2116142857143,1611.66,36.5009071428572,1611.66,131.62204,1611.66,52.3508714285714,1611.66,52.34796,1611.66,224.3498,1611.66,121.315,1611.66,110.8164,1611.66,66.4743333333333
1610.69,44.8616,1610.78,134.588,1610.78,64.8018,1610.69,94.7078,1610.78,99.695,1610.69,44.8616,1610.81,27.4161,1610.69,57.3231,1610.17,29.9259,1610.69,74.7693,1610.66,55.20455,1610.66,49.8469571428571,1610.66,36.4951071428572,1610.66,123.62176,1610.66,51.6289714285714,1610.66,57.32192,1610.66,224.3058,1610.66,133.752333333333,1610.66,111.020490909091,1610.66,62.3073333333333
1609.68,59.8043,1609.77,117.12,1609.77,52.3301,1609.68,109.641,1609.77,99.6765,1609.68,59.8043,1609.8,52.3301,1609.68,57.3125,1609.17,29.9203,1609.68,79.7391,1609.66,55.8174,1609.66,51.2612571428571,1609.66,36.1333,1609.66,128.57484,1609.66,48.7697285714286,1609.66,57.8099,1609.66,239.218666666667,1609.66,142.034333333333,1609.66,111.679036363636,1609.66,64.789
1608.68,69.7587,1608.77,97.1665,1608.77,42.3546,1608.68,79.7243,1608.77,109.624,1608.68,52.319,1608.8,34.8802,1608.68,57.3018,1608.17,39.8861,1608.68,94.6726,1608.65,56.05625,1608.65,48.4039571428571,1608.65,33.9902,1608.65,139.51244,1608.65,45.2014571428571,1608.65,58.79634,1608.65,234.190666666667,1608.65,147.823333333333,1608.65,110.297218181818,1608.65,59.7937
